tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-death-comments,animal-life-stage,animal-sex,attachment-type,deployment-end-comments,deployment-id,duty-cycle,study-site,tag-manufacturer-name,tag-model
2846,Olope,Connochaetes taurinus,2010-05-25 00:00:00.000,2011-08-11 00:00:00.000,,10 years,m,collar,fate unknown,2846_Olope,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2839,Ledama,Connochaetes taurinus,2010-05-26 00:00:00.000,2011-09-27 00:00:00.000,,10 years,m,collar,fate unknown,2839_Ledama,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2835,Motorogi,Connochaetes taurinus,2010-05-26 00:00:00.000,2010-11-24 00:00:00.000,predated,10 years,f,collar,predated,2835_Motorogi,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2831,Kayioni,Connochaetes taurinus,2010-05-26 00:00:00.000,2012-06-13 23:59:00.000,,5 years,m,collar,fate unknown,2831_Kayioni,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2844,Naserian,Connochaetes taurinus,2010-05-27 00:00:00.000,2013-01-15 23:59:00.000,,7 years,f,collar,fate unknown,2844_Naserian,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2832,Nagol,Connochaetes taurinus,2010-05-27 00:00:00.000,2013-01-15 23:59:00.000,,8 years,f,collar,fate unknown,2832_Nagol,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2843,Nkoko,Connochaetes taurinus,2010-05-27 00:00:00.000,2011-03-28 23:59:00.000,,12 years,f,collar,fate unknown,2843_Nkoko,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2829,Naboisho,Connochaetes taurinus,2010-05-28 00:00:00.000,2012-06-21 23:59:00.000,,9 years,f,collar,fate unknown,2829_Naboisho,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2833,Koyiaki,Connochaetes taurinus,2010-05-28 00:00:00.000,2011-03-18 23:59:00.000,,7 years,f,collar,fate unknown,2833_Koyiaki,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
2830,Naiba,Connochaetes taurinus,2010-05-28 00:00:00.000,2010-08-18 23:59:00.000,predated,10 years,f,collar,predated,2830_Naiba,16 fixes/day: hourly 06:00-18:00; 3-hourly 18:00-06:00 (local time),Mara,Lotek,WildCell GPS
